PMID,Year,Title,Authors,Journal,Article,Total Citations,Cited By PMIDs,Total References,Cited PMIDs,DOI
10447864,1999,Representational difference analysis to distinguish cryptic species.,"A Nekrutenko, K D Makova, R K Chesser, R J Baker",Mol Ecol,Yes,3,10831837 12657471 24795189,4,8585127 8438152 8678980 8531693,10.1046/j.1365-294x.1999.00682_1.x
10831837,2000,Isolation of binary species-specific PCR-based markers and their value for diagnostic applications.,"A Nekrutenko, K D Makova, R J Baker",Gene,Yes,8,21641975 20851546 30042618 12803650 31608116 15933014 12657471 11160940,10,8585127 8812464 10447864 9880669 9736728 11975334 8531693 8438152 7971268 2408039,10.1016/s0378-1119(00)00168-2
10948273,2000,Evolution of microsatellite alleles in four species of mice (genus Apodemus).,"K D Makova, A Nekrutenko, R J Baker",J Mol Evol,Yes,24,16998838 16697417 12137957 15994417 19153085 12207711 11264406 12834054 12421764 19688286 17728273 20691810 12803650 15140111 14717900 26949579 21869470 29876059 11444700 16897452 16174341 17712542 37246351 15579682,23,9060400 8524041 7608983 9718727 8454213 1509520 7563137 7705647 9929393 9532763 3328815 8373596 7705646 21237902 7739385 9380705 9178018 8963898 9066791 8159720 9664695 2836146 7852099,10.1007/s002390010077
11116093,2000,Assessment of compositional heterogeneity within and between eukaryotic genomes.,"A Nekrutenko, W H Li",Genome Res,Yes,89,19108743 18005411 20948965 12596231 22384143 15215396 22039174 20860791 16551647 19329065 22968434 16093569 15978039 33135764 18451437 11972348 20018981 12144178 12468092 16597586 30289877 18092828 15556480 11719569 12032235 12468094 25803088 15364904 15772377 12554675 18405379 11591467 12082137 11591471 26546225 25224847 17675852 24759626 16978802 12425527 15598714 15951139 11898794 16024355 15728737 11880640 19630562 25971281 25375262 12598695 16241267 17941704 15173108 12187388 14963104 18207458 19658528 16623701 35743002 25486012 15280243 21059261 26538122 22697250 11371603 15486696 17486342 18463707 11591472 28243687 17389148 21829660 19955480 11860213 25899406 37372134 28957653 16188403 16897446 15049304 19557160 12468093 11591468 12524353 17020791 22948085 11591466 35409128 30859203,19,1579441 10070250 8265650 8825483 10515213 2911369 10607893 8863734 10607616 826644 9750191 9802894 826643 10541547 9610410 3595849 4001930 5966296 3357886,10.1101/gr.10.12.1986
11141192,2001,Bushbaby growth hormone is much more similar to nonprimate growth hormones than to rhesus monkey and human growth hormones.,"R M Adkins, A Nekrutenko, W H Li",Mol Biol Evol,Yes,23,17981323 11371582 12200231 12751893 32500948 23073626 15975830 15246530 11357061 21411860 16216919 22094313 25387027 29407222 18706474 17009125 15848116 15461431 27869570 21683133 27376725 19651193 15983870,24,3856856 9341147 3454297 2395871 9254859 8576965 1549776 8990116 9012340 3932664 8404617 9461391 8433381 3916709 3412472 8673286 8083887 8660433 8552582 3405075 7984417 7862673 7714909 2744760,10.1093/oxfordjournals.molbev.a003719
11163965,2000,"Densities, length proportions, and other distributional features of repetitive sequences in the human genome estimated from 430 megabases of genomic sequence.","Z Gu, H Wang, A Nekrutenko, W H Li",Gene,Yes,66,15871047 23406353 37860559 20485678 11237007 14621267 11898794 16723681 35111495 16140990 34800971 16288912 34070520 23470764 20544686 27634416 33193003 15703238 16963729 14739461 27376057 33973013 28537492 21533144 17108224 19042945 25447892 17200086 17728280 23855992 31929557 24018822 28903321 23489277 16955238 14527302 17141428 31346255 31404266 32722770 16781088 12885958 17045745 14973332 22741019 11859360 18241332 12173714 17483816 27039817 19746164 12433577 15082888 17391469 12468093 31291946 16356663 16093686 11948215 12898398 12836682 29376201 11682309 28605529 11433361 23716996,14,7590280 9395063 2911369 8576965 8576960 9753719 8643651 10607616 7870583 10542153 9050872 9934709 8994846 10074184,10.1016/s0378-1119(00)00434-0
11237007,2001,Evolutionary analyses of the human genome.,"W H Li, Z Gu, H Wang, A Nekrutenko",Nature,Yes,291,30322087 23612256 16569458 22253773 15489525 15644465 14641244 25101670 35171907 21388541 22357199 23209799 26188561 15451169 24495000 12123841 14723893 12655646 38092658 17881407 17038565 22847645 12667879 37845370 18721867 18973670 16996316 17511669 21998273 15461429 26537194 37955198 12890629 15942939 23170228 15034132 37156323 30546257 35504120 12468719 15719030 27481219 15373340 16951404 11237011 15194185 18815629 16305325 19468313 32431727 11182585 11606051 16568892 25798074 23167951 16153739 20829394 18094749 17511727 11979549 19785608 11825642 15499578 12644406 15593278 14604799 16835078 14699262 19429695 12421758 14585507 12131756 23872666 18629061 16294016 15510166 17963496 19667145 19349354 15116722 19814657 12834164 12421750 36256614 11704426 23717800 11717436 12832642 19284633 16507168 20874407 19381530 19907676 16143626 11236999 18231813 15545713 11504849 17572026 20639124 11672845 18546472 20605023 12415313 24642114 12188049 12429687 37686265 17890240 11691848 16595228 32899740 36656667 16009172 19741000 21978436 15194194 22345018 17929059 23423698 16182294 11553621 12868611 31376417 12698299 12951215 37745568 21293033 14699263 22034998 27557521 15373898 11544197 15042337 24265504 16501310 21676759 22921893 12076675 15710750 12935338 19188151 15378201 12097342 16093704 19132291 30074324 16939643 19198779 12935662 24615097 22187004 19153166 15716312 15473908 30820434 21560187 22213323 17024666 18984903 20488894 14764573 16317080 12032571 17675363 17003129 18322038 34402498 26856261 15009119 25288950 12519948 26606469 15006351 16438646 11961100 20517289 22417073 15008791 16126853 28757862 12871908 14757817 20012294 15361937 19442564 20462415 22734049 31153042 22734051 27260203 24833233 28884009 15596828 12323097 14656962 14698418 34979911 36303740 15149555 12885961 23282240 19260026 15081124 11866511 18475320 12836682 28924499 29017442 12356262 34254744 12911035 36243274 21978843 20666582 25759136 20938800 11682313 11682312 34451565 24219971 20700486 28159755 26657034 30389934 26356866 17610085 24069402 12973349 15960802 22611337 18307799 12050356 17683536 38507667 23358118 12446821 25577200 21192830 36709878 15800040 15546986 16408244 18820438 11295537 16289610 25808755 11840699 11689652 21309673 20803091 15365986 17663700 15120696 25255691 16015595 16733546 20163805 15002776 12350369 17145707 16211423 24571567 15371528 15600657 17377852 22024410 11423012 15461795 21982972 24835588 26173681 15042833 24974377 12953120 24492530 15016989 17192808 36313461 15680516 18601603 22783276 22817111 16441884 17630849 11948215 25963623 15266339 36747211 18356937 17090307,5,11163965 10195279 10607616 11237011 10699189,10.1038/35057039
11672845,2001,Transposable elements are found in a large number of human protein-coding genes.,"A Nekrutenko, W H Li",Trends Genet,Yes,292,27563303 16569458 18066688 29762547 19125217 15674378 16093654 33134892 26821878 27096009 38269198 17716834 20443168 21974994 24667321 15014149 19239887 16729213 12123841 18931457 19797681 16877820 23170223 33466803 12667879 15922354 15545622 12729754 20376054 16500928 33973013 34287380 17020921 22131944 19415638 16093655 17567995 12446812 19763152 16914031 15802472 15533715 29934806 17360547 17223284 16093658 29175233 19622157 16076534 16990289 33471418 25798074 17507780 29392473 19111598 19393186 39118001 12697326 16805923 21787833 21156198 27614292 15927527 17616977 31092606 15940467 17140439 14585507 15901843 12032249 16093686 16770337 16283942 16109974 16093692 23345811 18854152 17963496 31620884 12547677 23717800 20652499 16093662 12527362 15608246 29634956 23073915 24923322 25117358 18680752 26208093 22661630 15616143 18231813 15545713 20532223 15375684 36142830 37628830 18948735 12618010 22388354 15965027 12723709 29029327 15546984 11788309 21067568 26188256 20198577 12045143 23082130 26241045 22158424 11861885 16093683 26393776 16937363 37730152 25081515 12575994 12764196 37895242 16424151 16368779 17210233 21684872 19845638 14502601 16134339 38871814 23484818 27649156 17496110 17099057 17222062 15851065 29708779 20885819 19679734 22034998 27618997 22144907 18626198 22921893 32366056 16093695 32531454 20226073 20569220 23348003 26472701 19747963 12097342 17725822 19132291 18293113 14681464 17346188 12949152 25468787 31673989 23637635 17426760 15716312 19281954 17226802 16093669 35220568 16093670 23227030 19183808 19962995 16384818 32973040 37726397 19621349 27512237 15328599 30746825 12902382 15485353 12466286 19064677 14726650 16217606 18575625 12473749 16093674 29206283 28209295 15008424 26861146 16955239 31340492 12654931 30597185 14634634 15716117 22960324 19936088 18273826 11935017 18942889 12400687 19581580 18208328 20147320 12885961 17724370 27994207 23876611 19614593 12836682 38990889 19420048 28285723 12868606 29164313 14621267 25813042 24704977 21037245 11914129 18081010 21436881 19561090 11682312 17181857 14728667 12547512 22276010 29366860 15716091 15338236 33230956 16476528 12405352 24069402 29783941 15777633 16241267 12941181 32452001 12801721 14550626 23358118 18036258 12897251 25713212 16408244 20728532 28275190 15034146 16443682 22778693 26223268 16868943 18842128 16893475 17157447 12734010 34762703 12868601 37277361 24050177 15702417 24280023 18811936 12861015 12747369 16175572 15316654 12868609 17709368 25826413 18241332 28116472 19845640 17238844 17192808 27924012 14632259 17101974 20019790 29211049 25188499 24839466 16365895 21111023 14745026 36555609,11,10228029 11237007 1279691 9439634 10381326 11163962 9211940 10607616 8073532 10952214 10828456,10.1016/s0168-9525(01)02445-3
11779845,2002,The K(A)/K(S) ratio test for assessing the protein-coding potential of genomic regions: an empirical and simulation study.,"Anton Nekrutenko, Kateryna D Makova, Wen-Hsiung Li",Genome Res,Yes,191,12552088 25928711 22504521 33176678 29291063 16091412 22426291 30658516 31850053 35058951 32824914 17127215 16709259 26269100 26561303 21795252 12127765 22237150 20622912 12537575 15034132 29932159 14527302 36768313 18020709 17355171 24385504 27261332 36968000 20019805 35968117 21297981 17989253 15338635 36232619 38556556 32243542 36292634 23132786 24965500 21106061 12433583 16770337 37446183 33937537 18701645 30798493 36613954 39202330 17530917 28117441 25343341 16845032 36432793 15057822 27790233 33373625 25652661 35897727 37021309 25249249 15485342 37312045 17942888 37495003 33717690 21266472 36539701 36340404 18369177 19460422 15693626 35701737 12716985 15632085 34532544 36684725 22118156 15215350 16908844 15809421 36432841 31137880 30072649 29261107 18637201 14997422 32135166 33375673 28536594 18405380 19761605 36971298 27072743 23934623 20820768 36077425 18245324 30567971 12466850 18814329 17395691 16829590 34172528 16644869 29862293 37946112 35773545 18421375 15485356 26575237 25974995 18629011 14736341 18831778 29772750 33717696 37050144 16110330 33423678 18847470 30571734 30509163 34717552 18402669 17103426 12466853 19319195 34795693 28874115 30022972 34638695 19737408 25345765 36768459 35910444 30241497 19416520 23986765 38956388 26539461 31344115 21672920 18971241 21593603 18081010 37834282 36843032 34381467 37805641 12073013 12801721 38473982 17994088 19077187 33148177 36855055 20565911 12538242 16536879 29382843 16766551 15576679 34544366 19803737 24484385 30997292 15064762 34772358 37514247 34844857 19332112 27126963 22844194 12824366 38846462 16740169 22132149 19534745 15261647 35462769 35475784 29243204 23258646 18334514 23970561 25788149 23019368 16086309 38931106 20224812,11,11337477 10984448 9689093 11237011 11181995 10508839 7968486 10899144 10958630 7984417 11114436,10.1101/gr.200901
12421750,2002,Signatures of domain shuffling in the human genome.,"Henrik Kaessmann, Sebastian Zöllner, Anton Nekrutenko, Wen-Hsiung Li",Genome Res,Yes,72,38045239 21878963 17488835 25523484 21210967 15905272 21046256 16487520 18980666 12868607 34252160 23376183 27437030 38045389 22139920 19443856 17572026 15093836 17295290 25587847 18263615 35342001 12743017 34100715 23505294 23460204 15475111 24456648 15104528 27338490 31277491 15696372 16040157 16951743 16715176 17065597 19141283 19332112 15640447 17082903 22640394 16736103 15371528 15313546 27358863 16192573 16034650 17094737 12750476 18688268 28035955 14634634 20043945 16716778 17192808 15599511 22528879 28257417 21900599 29868795 16973001 34806953 29211049 20130028 23876611 22936075 26693737 25490747 17005254 20633280 22948334 16109974,42,10731134 11861885 10570987 11237007 10561497 11687643 10892642 9560234 11574467 11590104 8896374 11237011 10454621 11983904 9493351 11752314 11691849 2456887 8618928 10699189 2411416 3454299 10066175 8387703 11752290 2987701 8962105 11551174 8745076 7736581 10570989 11181995 9461387 11911892 3025526 7585946 11752248 10970230 7366731 10779482 10809663 10383473,10.1101/gr.520702
